# Rime user dictionary
#@/db_name	pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	32367
#@/user_id	Mac
a 	啊	c=393 d=1.26882 t=31923
a 	阿	c=2 d=1 t=28208
a li 	阿里	c=1 d=1 t=28212
ai 	挨	c=1 d=1 t=6392
ai 	爱	c=11 d=1 t=29362
ai chi 	爱吃	c=0 d=0.1 t=12655
ai gao 	爱搞	c=1 d=1 t=3673
ai guo 	爱国	c=0 d=0.1 t=8496
ai guo de 	爱国的	c=1 d=1 t=8497
ai ke 	艾克	c=43 d=1.05079 t=31935
ai ke de 	艾克的	c=2 d=1 t=15540
ai ke yi wei 	艾克以为	c=1 d=1 t=3372
ai mei 	暧昧	c=5 d=1 t=31998
ai mei le 	暧昧了	c=1 d=1 t=7470
ai shang 	爱上	c=1 d=1 t=23633
ai wan 	爱玩	c=1 d=1 t=10439
ai wo 	爱我	c=2 d=2.06042 t=20504
ai wo jiu shi 	爱我就是	c=1 d=1 t=20505
an 	按	c=1 d=1 t=29564
an 	案	c=1 d=1 t=21701
an an jing jing 	安安静静	c=1 d=1 t=854
an di si 	安第斯	c=1 d=0.904837 t=32367
an dou 	暗斗	c=1 d=1 t=8533
an fen 	安分	c=1 d=0.1 t=20879
an fen de 	安分的	c=1 d=1 t=20880
an jian 	案件	c=1 d=1 t=22581
an jing 	安静	c=1 d=1 t=12757
an ni 	按你	c=1 d=1 t=29803
an pai 	安排	c=2 d=1 t=25830
an quan gan 	安全感	c=1 d=0.1 t=24027
an shi 	暗示	c=1 d=1 t=28604
an wang 	暗网	c=7 d=2.89786 t=12183
an wei 	安慰	c=1 d=1 t=13717
an xi 	安溪	c=3 d=1.89867 t=7141
an zhao 	按照	c=9 d=1 t=32206
an zhuang 	安装	c=1 d=1 t=28410
an zi 	案子	c=5 d=1.92774 t=24630
ang zang 	肮脏	c=2 d=1.8781 t=13059
ao dao 	熬到	c=1 d=1 t=13640
ao si 	熬死	c=1 d=1 t=9166
ba 	八	c=1 d=1 t=32146
ba 	吧	c=96 d=1.78661 t=32156
ba 	把	c=52 d=0.904837 t=32367
ba 	爸	c=8 d=1.01532 t=30924
ba ba 	粑粑	c=1 d=1.08025 t=28577
ba dian 	八点	c=0 d=0.1 t=12574
ba dian duo 	八点多	c=1 d=1 t=12575
ba ma 	爸妈	c=1 d=1 t=24025
ba ni 	把你	c=2 d=1 t=20300
ba qian 	把钱	c=7 d=1.77872 t=26216
ba ren 	把人	c=1 d=1.00809 t=19774
ba ren jia 	把人家	c=3 d=1 t=27239
ba shi 	八十	c=1 d=1 t=29195
ba shi 	把事	c=1 d=1 t=28071
ba shi he 	吧适合	c=1 d=1 t=1859
ba shi qing 	把事情	c=1 d=1 t=4233
ba ta 	把它	c=1 d=1 t=19201
ba wo 	把我	c=22 d=1.00009 t=31877
ba wo de 	把我的	c=1 d=1 t=21788
ba wo zi ji 	把我自己	c=1 d=1 t=2999
ba zi ji 	把自己	c=2 d=1 t=30326
ba zi ji de 	把自己的	c=1 d=1 t=20013
bai 	白	c=10 d=1.03909 t=27556
bai 	百	c=2 d=1.00079 t=19665
bai 	败	c=5 d=1 t=13692
bai de 	白的	c=3 d=1.16131 t=27917
